Frequency,Amplitude,LeftYaw,RightYaw,RotAngleZ,RotAngleY,RotAngleX
0.0,0.0,0.009032158690679574,-0.253475744391134,-0.0020163873586702685,-0.011887803145323339,3.1414066961565137
0.0,0.0,0.012128642097547224,-0.2510710597296038,-0.0020163873586702685,-0.011887803145323339,3.1414066961565137
0.0,0.0,0.0027795456509792293,-0.25664407385048765,-0.0020163873586702685,-0.011887803145323339,3.1414066961565137
0.0,0.0,-0.022655170175789413,-0.2680897742939166,-0.0015396706811614536,-0.012161467630842804,3.1415810717733006
0.0,0.0,-0.05160021085888478,-0.27811645928476725,-0.0015396706811614536,-0.012161467630842804,3.1415810717733006
0.0,0.0,-0.07838373845510938,-0.284105858642085,-0.0015396706811614536,-0.012161467630842804,3.1415810717733006
0.0,0.0,-0.0934480672863323,-0.2863323611819321,-0.0011605996488883719,-0.012288082902568664,-3.1413873549483453
0.0,0.0,-0.10099124636976478,-0.2962010707858706,-0.0011851926649981692,-0.01229627488940821,-3.141309839555493
0.0,0.0,-0.10420099630644755,-0.2944599959337177,-0.0011851926649981692,-0.01229627488940821,-3.141309839555493
0.0,0.0,-0.09837830251099035,-0.29349410069585957,-0.0011851926649981692,-0.01229627488940821,-3.141309839555493
0.0,0.0,-0.10162531173579901,-0.29501033817298256,-0.0011851926649981692,-0.01229627488940821,-3.141309839555493
0.0,0.0,-0.1019962234966198,-0.29385126388755284,-0.0015963481989795802,-0.012336489444554566,-3.1409960465726776
0.0,0.0,-0.1004877757656853,-0.2898983005920346,-0.0015963481989795802,-0.012336489444554566,-3.1409960465726776
0.0,0.0,-0.10158523948377172,-0.2922959445214329,-0.0015963481989795802,-0.012336489444554566,-3.1409960465726776
0.0,0.0,-0.10055217432979477,-0.2904688162765568,-0.0015963481989795802,-0.012336489444554566,-3.1409960465726776
0.0,0.0,-0.10080465032351268,-0.29152013240637925,-0.001785327301502715,-0.012372195235772043,-3.1406788276669944
0.0,0.0,-0.09959821338257158,-0.29071985249881044,-0.001785327301502715,-0.012372195235772043,-3.1406788276669944
0.0,0.0,-0.10096749430179262,-0.291470664189131,-0.001785327301502715,-0.012372195235772043,-3.1406788276669944
0.0,0.0,-0.09988980455480004,-0.2902696118270189,-0.001464284776222069,-0.012462338823629793,-3.1408293662297444
0.0,0.0,-0.10143603588370004,-0.2908039750997433,-0.001464284776222069,-0.012462338823629793,-3.1408293662297444
0.0,0.0,-0.09879432156277435,-0.28892464889750163,-0.001464284776222069,-0.012462338823629793,-3.1408293662297444
0.0,0.0,-0.09955365536858318,-0.2888099332335465,-0.0018446284676469915,-0.012474897292911624,-3.1407888105218538
0.0,0.0,-0.09927816799857131,-0.28927056023358927,-0.0018446284676469915,-0.012474897292911624,-3.1407888105218538
0.0,0.0,-0.10173550002590104,-0.28912731545645665,-0.0018446284676469915,-0.012474897292911624,-3.1407888105218538
0.0,0.0,-0.09898090928664802,-0.2883167157996638,-0.0018446284676469915,-0.012474897292911624,-3.1407888105218538
0.0,0.0,-0.10059397763653061,-0.28996907409800343,-0.0021889619492920787,-0.012488543106219385,-3.1407287565549233
0.0,0.0,-0.09778690597904621,-0.2881874193287404,-0.0021889619492920787,-0.012488543106219385,-3.1407287565549233
0.0,0.0,-0.09967660186478237,-0.2912375377252082,-0.0021889619492920787,-0.012488543106219385,-3.1407287565549233
0.0,0.0,-0.10089539753765714,-0.28801681057140727,-0.002099355136397474,-0.012453626570236409,-3.1410589196023664
0.0,0.0,-0.09687603830721186,-0.2843574607860702,-0.002099355136397474,-0.012453626570236409,-3.1410589196023664
0.0,0.0,-0.09904493334372921,-0.2872527829441771,-0.002099355136397474,-0.012453626570236409,-3.1410589196023664
0.0,0.0,-0.09794761110607568,-0.2856367102156898,-0.0021406067714599963,-0.012435367062292535,-3.141251572054514
0.0,0.0,-0.0964660862692862,-0.2831981201845315,-0.0021406067714599963,-0.012435367062292535,-3.141251572054514
0.0,0.0,-0.0987271350018987,-0.28512851250067545,-0.0021406067714599963,-0.012435367062292535,-3.141251572054514
0.0,0.0,-0.09834919083132442,-0.2860522299247694,-0.0019022353009159332,-0.01243550400784077,-3.1411962544518715
0.0,0.0,-0.09858328269114237,-0.28650043993622976,-0.0019022353009159332,-0.01243550400784077,-3.1411962544518715
0.0,0.0,-0.09860172508169118,-0.2856241600690528,-0.0019022353009159332,-0.01243550400784077,-3.1411962544518715
0.0,0.0,-0.09803358127501481,-0.2851409960682852,-0.0019022353009159332,-0.01243550400784077,-3.1411962544518715
0.0,0.0,-0.10021822225147724,-0.28633109618041436,-0.0016500744044916082,-0.012396540782822374,-3.141531977726695
0.0,0.0,-0.09833833012750394,-0.2849446545169191,-0.0016500744044916082,-0.012396540782822374,-3.141531977726695
0.0,0.0,-0.09821723119931099,-0.28578365012883494,-0.0016500744044916082,-0.012396540782822374,-3.141531977726695
0.0,0.0,-0.0968422744180167,-0.28465004232132907,-0.001956759920331841,-0.012401253030456694,-3.141553629532478
0.0,0.0,-0.09617131594850646,-0.284085385591205,-0.001956759920331841,-0.012401253030456694,-3.141553629532478
0.0,0.0,-0.09562209723032646,-0.2856027216222777,-0.001956759920331841,-0.012401253030456694,-3.141553629532478
0.0,0.0,-0.0968776195591091,-0.28468436380987744,-0.001956759920331841,-0.012401253030456694,-3.141553629532478
0.0,0.0,-0.09478751247896607,-0.28383451581651953,-0.0022902102755946174,-0.012386997139675504,3.141413527463394
0.0,0.0,-0.09692018852465834,-0.2856031543859548,-0.0022902102755946174,-0.012386997139675504,3.141413527463394
0.0,0.0,-0.09597870282266648,-0.2832000176868082,-0.0022902102755946174,-0.012386997139675504,3.141413527463394
0.0,0.0,-0.09792973463725853,-0.28533257721920274,-0.0029267099345204883,-0.012390151945083083,3.1413031512156517
0.0,0.0,-0.09578792894245433,-0.2839401434432548,-0.0029267099345204883,-0.012390151945083083,3.1413031512156517
0.0,0.0,-0.09609500806089728,-0.28254561242794846,-0.0029267099345204883,-0.012390151945083083,3.1413031512156517
0.0,0.0,-0.09745777255782605,-0.28435596275795705,-0.0029267099345204883,-0.012390151945083083,3.1413031512156517
0.0,0.0,-0.09694414032971223,-0.28316080263975674,-0.0034685049495899456,-0.012370975376467364,3.1409924148432595
0.0,0.0,-0.09532160943558146,-0.2832334736480023,-0.0034685049495899456,-0.012370975376467364,3.1409924148432595
0.0,0.0,-0.0965849464776878,-0.2835753902424548,-0.0034685049495899456,-0.012370975376467364,3.1409924148432595
0.0,0.0,-0.0966514339587773,-0.28366660350979006,-0.003563904713987487,-0.012332602475463528,3.1405919721457063
0.0,0.0,-0.0976658486627453,-0.2835849776223791,-0.003563904713987487,-0.012332602475463528,3.1405919721457063
0.0,0.0,-0.0957133271424185,-0.2833594078780494,-0.003563904713987487,-0.012332602475463528,3.1405919721457063
0.0,0.0,-0.09624536014918907,-0.2839013611598805,-0.003563904713987487,-0.012332602475463528,3.1405919721457063
0.0,0.0,-0.08842775896018075,-0.2808703509442341,-0.003457019903621017,-0.01228957537682529,3.1401899731057745
0.0,0.0,-0.07278876989998916,-0.273847611794452,-0.003457019903621017,-0.01228957537682529,3.1401899731057745
0.0,0.0,-0.05456937331940333,-0.26162972779295457,-0.003457019903621017,-0.01228957537682529,3.1401899731057745
0.0,0.0,-0.044873985568158546,-0.24853824373012712,-0.003054992093675324,-0.012209719960339704,3.139486978894754
0.0,0.0,-0.04002307509328204,-0.23701432957443394,-0.003054992093675324,-0.012209719960339704,3.139486978894754
0.0,0.0,-0.036927067102280865,-0.23433034589358162,-0.003054992093675324,-0.012209719960339704,3.139486978894754
0.0,0.0,-0.03905327665995128,-0.23347307433868514,-0.003054992093675324,-0.012209719960339704,3.139486978894754
0.0,0.0,-0.036789057101165916,-0.23225689189263,-0.00301311815703853,-0.012181752002286661,3.139218065599235
0.0,0.0,-0.035967667480769024,-0.23009986456772033,-0.00301311815703853,-0.012181752002286661,3.139218065599235
0.0,0.0,-0.03346080273775841,-0.22884157088692833,-0.00301311815703853,-0.012181752002286661,3.139218065599235
0.0,0.0,-0.03330429625063502,-0.2289199344020039,-0.0030478370243458563,-0.012133268677743558,3.1387282107545995
0.0,0.0,-0.03403280188623159,-0.228652103620126,-0.0030478370243458563,-0.012133268677743558,3.1387282107545995
0.0,0.0,-0.03169289237643373,-0.2280040067240984,-0.0030478370243458563,-0.012133268677743558,3.1387282107545995
0.0,0.0,-0.03291481726358934,-0.22838512172084555,-0.0030478370243458563,-0.012133268677743558,3.1387282107545995
0.0,0.0,-0.031660048110052484,-0.2277523047115723,-0.003337542576591801,-0.012109519174468009,3.138428402041834
0.0,0.0,-0.030054488626087162,-0.22695820000878109,-0.003337542576591801,-0.012109519174468009,3.138428402041834
0.0,0.0,-0.03164306629691403,-0.22706917060245335,-0.003337542576591801,-0.012109519174468009,3.138428402041834
0.0,0.0,-0.029016579847877623,-0.22787179742073277,-0.003956588743578848,-0.011834043561002261,3.1385200122894235
0.0,0.0,-0.030051557068293475,-0.22695944836554208,-0.003956588743578848,-0.011834043561002261,3.1385200122894235
0.0,0.0,-0.028992732072553807,-0.22704250570203893,-0.003956588743578848,-0.011834043561002261,3.1385200122894235
0.0,0.0,-0.028857722288854398,-0.22624758540616388,-0.003956588743578848,-0.011834043561002261,3.1385200122894235
0.0,0.0,-0.02954573955350336,-0.22608561527761664,-0.004732524256644499,-0.011601850214301823,3.1386481579793255
0.0,0.0,-0.029172512090890966,-0.22674013704977405,-0.004732524256644499,-0.011601850214301823,3.1386481579793255
0.0,0.0,-0.02680577747489436,-0.22746867805547885,-0.004732524256644499,-0.011601850214301823,3.1386481579793255
0.0,0.0,-0.028762986574858634,-0.2267683832020857,-0.005614316455206492,-0.011529123118666718,3.138867856037008
0.0,0.0,-0.0284984514548297,-0.22570050553923438,-0.005614316455206492,-0.011529123118666718,3.138867856037008
0.0,0.0,-0.027892985942189388,-0.22515359211987296,-0.005614316455206492,-0.011529123118666718,3.138867856037008
0.0,0.0,-0.02904839005874186,-0.22561243813093682,-0.005614316455206492,-0.011529123118666718,3.138867856037008
0.0,0.0,-0.02787999887068605,-0.2249280723098137,-0.006308647608935125,-0.011627186018064783,3.13916651975649
0.0,0.0,-0.028239280107683756,-0.2250472987028652,-0.006308647608935125,-0.011627186018064783,3.13916651975649
0.0,0.0,-0.02750894354883775,-0.2229263905002397,-0.006308647608935125,-0.011627186018064783,3.13916651975649
