Frequency,Amplitude,LeftYaw,RightYaw,RotAngleZ,RotAngleY,RotAngleX
0.0,0.0,-0.06170933316904099,-0.019608081125061627,-0.06770476309336004,-0.1902544274229836,3.1071554383382853
0.0,0.0,-0.06168672958928894,-0.01981239135375194,-0.06770476309336004,-0.1902544274229836,3.1071554383382853
0.0,0.0,-0.06234418499983464,-0.02032264885742192,-0.06770476309336004,-0.1902544274229836,3.1071554383382853
0.0,0.0,-0.06147599448446881,-0.020584312756900612,-0.06713127717536649,-0.19055131285938476,3.1078625305819454
0.0,0.0,-0.06145557552904847,-0.020811909000372303,-0.06648258598253731,-0.19050973065716814,3.108536748650621
0.0,0.0,-0.061247707483589375,-0.020377385140201452,-0.06648258598253731,-0.19050973065716814,3.108536748650621
0.0,0.0,-0.060884776883660424,-0.019911506719384124,-0.06648258598253731,-0.19050973065716814,3.108536748650621
0.0,0.0,-0.06002276157307221,-0.020878525478327113,-0.06568329046683452,-0.18996118514520832,3.1087009462227138
0.0,0.0,-0.05997482883463999,-0.020264015620953542,-0.06568329046683452,-0.18996118514520832,3.1087009462227138
0.0,0.0,-0.059253832064960675,-0.020409316025552585,-0.06568329046683452,-0.18996118514520832,3.1087009462227138
0.0,0.0,-0.05848891810443028,-0.02074225277370452,-0.06493908818790928,-0.18885648772337404,3.1078947575944658
0.0,0.0,-0.057819078994815705,-0.020838898473544577,-0.06493908818790928,-0.18885648772337404,3.1078947575944658
0.0,0.0,-0.05707085972536874,-0.021038415012272747,-0.06493908818790928,-0.18885648772337404,3.1078947575944658
0.0,0.0,-0.057079548288425125,-0.020664709012901978,-0.06493908818790928,-0.18885648772337404,3.1078947575944658
0.0,0.0,-0.056780683357469386,-0.020593055415416638,-0.0643038989355098,-0.18732239030014686,3.106713313421456
0.0,0.0,-0.05609957990868163,-0.020565117191106024,-0.0643038989355098,-0.18732239030014686,3.106713313421456
0.0,0.0,-0.0549739574232568,-0.020674543983583857,-0.0643038989355098,-0.18732239030014686,3.106713313421456
0.0,0.0,-0.054817018172456274,-0.02063539135437049,-0.06371966081277147,-0.1856374364897717,3.1059593205603
0.0,0.0,-0.05442566248907993,-0.02145792946298748,-0.06371966081277147,-0.1856374364897717,3.1059593205603
0.0,0.0,-0.053561591551025314,-0.021272999973011297,-0.06371966081277147,-0.1856374364897717,3.1059593205603
0.0,0.0,-0.05313730421629446,-0.02132873494119961,-0.06371966081277147,-0.1856374364897717,3.1059593205603
0.0,0.0,-0.05268096740232017,-0.02139226381676561,-0.063044406727363,-0.18406238999411695,3.106203515739664
0.0,0.0,-0.05205567382312638,-0.02149180986548033,-0.063044406727363,-0.18406238999411695,3.106203515739664
0.0,0.0,-0.051119976335316245,-0.02203957424803379,-0.063044406727363,-0.18406238999411695,3.106203515739664
0.0,0.0,-0.05127313722632022,-0.02200251261639506,-0.06180315210642995,-0.18310327497578482,3.1072372119184517
0.0,0.0,-0.05063584277746426,-0.02231208220657615,-0.06180315210642995,-0.18310327497578482,3.1072372119184517
0.0,0.0,-0.04994444870777686,-0.02310096045572806,-0.06180315210642995,-0.18310327497578482,3.1072372119184517
0.0,0.0,-0.050022383620364506,-0.023349050556025753,-0.0596532068172948,-0.1829406645734819,3.1087941502308354
0.0,0.0,-0.05025320478546872,-0.024399825731251736,-0.0596532068172948,-0.1829406645734819,3.1087941502308354
0.0,0.0,-0.04981412026193111,-0.024531263134020154,-0.0596532068172948,-0.1829406645734819,3.1087941502308354
0.0,0.0,-0.04941390956793025,-0.02523707156310761,-0.0596532068172948,-0.1829406645734819,3.1087941502308354
0.0,0.0,-0.05036926035234733,-0.02557650808879502,-0.056559987493659314,-0.18351006842615547,3.11014853899105
0.0,0.0,-0.05006526467510399,-0.026162153857260256,-0.056559987493659314,-0.18351006842615547,3.11014853899105
0.0,0.0,-0.047996159116869754,-0.02836026044198441,-0.056559987493659314,-0.18351006842615547,3.11014853899105
0.0,0.0,-0.03629099604305066,-0.037505613881965355,-0.056559987493659314,-0.18351006842615547,3.11014853899105
0.0,0.0,-0.018172063053398867,-0.049973872476633034,-0.05291218479383897,-0.1847991821463162,3.1107924332269663
0.0,0.0,-0.0015279263876320768,-0.061882696633626735,-0.05291218479383897,-0.1847991821463162,3.1107924332269663
0.0,0.0,0.011610391989715106,-0.07231767334791095,-0.05291218479383897,-0.1847991821463162,3.1107924332269663
0.0,0.0,0.021800959175551894,-0.0835897190435099,-0.049319249260791675,-0.18661882018992682,3.1109781119992843
0.0,0.0,0.026377801245934824,-0.09091415273290598,-0.049319249260791675,-0.18661882018992682,3.1109781119992843
0.0,0.0,0.026274799329586804,-0.09564048968660482,-0.049319249260791675,-0.18661882018992682,3.1109781119992843
0.0,0.0,0.026232336474362253,-0.09458271539113898,-0.04628568432034319,-0.1888464592247221,3.111088231267736
0.0,0.0,0.026137848351124083,-0.09497797010879877,-0.04628568432034319,-0.1888464592247221,3.111088231267736
0.0,0.0,0.026138451723558553,-0.09613304965259338,-0.04628568432034319,-0.1888464592247221,3.111088231267736
0.0,0.0,0.02557062832845083,-0.09686957181919001,-0.04628568432034319,-0.1888464592247221,3.111088231267736
0.0,0.0,0.02489799498028628,-0.09702024848023966,-0.04418391506611652,-0.1912351362350342,3.1113604079402246
0.0,0.0,0.024996055484455437,-0.09791554498207546,-0.04418391506611652,-0.1912351362350342,3.1113604079402246
0.0,0.0,0.02458312819624945,-0.09791550337018341,-0.04418391506611652,-0.1912351362350342,3.1113604079402246
0.0,0.0,0.024827396244263958,-0.09802810515002333,-0.04265868892388225,-0.19370787672230216,3.111869373252574
0.0,0.0,0.024264709837227647,-0.09757922102591207,-0.04265868892388225,-0.19370787672230216,3.111869373252574
0.0,0.0,0.02338744168761493,-0.09791540350164255,-0.04265868892388225,-0.19370787672230216,3.111869373252574
0.0,0.0,0.023367478382412342,-0.0981211826301216,-0.04265868892388225,-0.19370787672230216,3.111869373252574
0.0,0.0,0.023125407442297147,-0.09862622616371991,-0.041369354656643154,-0.1960253055438601,3.112431664116447
0.0,0.0,0.022451981387589377,-0.0986823189941797,-0.041369354656643154,-0.1960253055438601,3.112431664116447
0.0,0.0,0.022188026753454295,-0.09937667999176902,-0.041369354656643154,-0.1960253055438601,3.112431664116447
0.0,0.0,0.02143410665479888,-0.09954782970369865,-0.03995203374871403,-0.19796027581416586,3.113014277629076
0.0,0.0,0.020879588662168543,-0.09994805288126711,-0.03995203374871403,-0.19796027581416586,3.113014277629076
0.0,0.0,0.020459968101129128,-0.10042974382105678,-0.03995203374871403,-0.19796027581416586,3.113014277629076
