Frequency,Amplitude,LeftYaw,RightYaw,RotAngleZ,RotAngleY,RotAngleX
0.0,0.0,0.1022563477560933,-0.01621677018106269,-0.06048363027935677,-0.07179149062376133,-3.1053404539677962
0.0,0.0,0.10222435653349872,-0.016288953289874147,-0.06048363027935677,-0.07179149062376133,-3.1053404539677962
0.0,0.0,0.10146804375105142,-0.0161793829363688,-0.06048363027935677,-0.07179149062376133,-3.1053404539677962
0.0,0.0,0.10186375619952358,-0.016102948132488925,-0.06094266363151979,-0.07129698671562723,-3.1084492712467027
0.0,0.0,0.10201831108891064,-0.015948834329157405,-0.06094266363151979,-0.07129698671562723,-3.1084492712467027
0.0,0.0,0.10165730295839359,-0.015763244250395207,-0.06094266363151979,-0.07129698671562723,-3.1084492712467027
0.0,0.0,0.10165730295839359,-0.015763244250395207,-0.06094266363151979,-0.07129698671562723,-3.1084492712467027
0.0,0.0,0.10186375619952358,-0.016102948132488925,-0.06018818247028346,-0.07159204604952674,-3.1110855748671113
0.0,0.0,0.10090467698958039,-0.016030038896161503,-0.06018818247028346,-0.07159204604952674,-3.1110855748671113
0.0,0.0,0.10086487937604051,-0.015913468382118993,-0.06018818247028346,-0.07159204604952674,-3.1110855748671113
0.0,0.0,0.10090006639194318,-0.015493495160294602,-0.06018818247028346,-0.07159204604952674,-3.1110855748671113
0.0,0.0,0.09974725885745354,-0.015835841397532385,-0.0579783724684515,-0.07241275704293981,-3.112963384997469
0.0,0.0,0.09938297170984432,-0.01602215760381055,-0.0579783724684515,-0.07241275704293981,-3.112963384997469
0.0,0.0,0.10011028100354497,-0.016026098249986027,-0.0579783724684515,-0.07241275704293981,-3.112963384997469
0.0,0.0,0.09822884091718805,-0.0166636610955456,-0.05545772201741528,-0.07334873296324629,-3.1138273488278037
0.0,0.0,0.0988401112887669,-0.01711926762081471,-0.05545772201741528,-0.07334873296324629,-3.1138273488278037
0.0,0.0,0.09785851172285571,-0.01761537708119364,-0.05545772201741528,-0.07334873296324629,-3.1138273488278037
0.0,0.0,0.09685912723428985,-0.01882805788653423,-0.05545772201741528,-0.07334873296324629,-3.1138273488278037
0.0,0.0,0.09760010187333397,-0.021145478249283135,-0.05333681403194168,-0.07410411216085944,-3.1142075185786435
0.0,0.0,0.09606333308868215,-0.021600086089143464,-0.05333681403194168,-0.07410411216085944,-3.1142075185786435
0.0,0.0,0.09632273330123428,-0.0229703677743679,-0.05333681403194168,-0.07410411216085944,-3.1142075185786435
0.0,0.0,0.09622560282285204,-0.02370821944091497,-0.05166905249405529,-0.07469783179385292,-3.114611980152936
0.0,0.0,0.09679228189092887,-0.023422919986761825,-0.05166905249405529,-0.07469783179385292,-3.114611980152936
0.0,0.0,0.09680746190914233,-0.024262483601003908,-0.05166905249405529,-0.07469783179385292,-3.114611980152936
