Frequency,Amplitude,LeftYaw,RightYaw,RotAngleZ,RotAngleY,RotAngleX
0.0,0.0,-0.0927689612083621,-0.05388707560931423,-0.03544329193015683,-0.23933689028218907,3.120976357212239
0.0,0.0,-0.09245612300406186,-0.05538255291350221,-0.03544329193015683,-0.23933689028218907,3.120976357212239
0.0,0.0,-0.09140119496201103,-0.055390704683151375,-0.03694039711137842,-0.23920541312579946,3.120542585390682
0.0,0.0,-0.09093341903891702,-0.054440542901670747,-0.0394200438133705,-0.23881000952189124,3.1198250987768708
0.0,0.0,-0.09039939698370729,-0.051666531892406165,-0.04168341599987313,-0.23832454995174235,3.119385398171089
0.0,0.0,-0.08955018149110827,-0.04891489559748745,-0.042476266077679625,-0.2379771113412028,3.11917741922881
0.0,0.0,-0.08874389282632997,-0.0471399819547337,-0.042476266077679625,-0.2379771113412028,3.11917741922881
0.0,0.0,-0.08779988544368095,-0.04587842590160635,-0.041436911173609925,-0.23791357044850603,3.1194662113339384
0.0,0.0,-0.08771981584103203,-0.04575588304075988,-0.0394613935967878,-0.23817156409997065,3.1201282674836537
0.0,0.0,-0.08757791096682284,-0.04638097272168271,-0.03773233900912132,-0.2385451010979569,3.120548313624698
0.0,0.0,-0.08789912148380002,-0.04771397639342984,-0.03706589369207425,-0.23892386118493159,3.120542680094527
0.0,0.0,-0.0875694138184698,-0.04827294477791305,-0.03759503435985945,-0.2392133855308627,3.120235375597531
0.0,0.0,-0.08759116851562439,-0.04816664303852686,-0.03759503435985945,-0.2392133855308627,3.120235375597531
0.0,0.0,-0.08709556255913904,-0.04708981881888854,-0.03886498552490547,-0.23924147361749615,3.119736932358626
0.0,0.0,-0.08660197894060649,-0.04547281814520888,-0.03994606139478618,-0.23914479722568105,3.1192406409009608
0.0,0.0,-0.08566432153268162,-0.04478575587348206,-0.04024623828469398,-0.23905067033330685,3.1189266604298473
0.0,0.0,-0.0853585573500269,-0.043049936603292836,-0.03940408439066445,-0.23903597573258661,3.119440160450355
0.0,0.0,-0.08523963056259805,-0.04201973018629851,-0.03940408439066445,-0.23903597573258661,3.119440160450355
0.0,0.0,-0.08526938306540127,-0.041899588331622314,-0.037916073955068796,-0.23894800713117625,3.1206693272813717
0.0,0.0,-0.08532777287230127,-0.04213715894561419,-0.03678423722294877,-0.23861059690660724,3.122102756652985
0.0,0.0,-0.08463549246931357,-0.042177227036452276,-0.03668364162369375,-0.23796196242037038,3.123184634679632
0.0,0.0,-0.08394989493618629,-0.041951486683365236,-0.037588404624896654,-0.2370776913621424,3.1239499926686447
0.0,0.0,-0.08261029161836282,-0.04123630309500286,-0.03886614555593537,-0.23615633170964223,3.124533640824731
0.0,0.0,-0.08152197419414513,-0.03987438331948236,-0.03886614555593537,-0.23615633170964223,3.124533640824731
0.0,0.0,-0.08076442969969368,-0.0385888754613011,-0.040106079247407944,-0.2354910536444681,3.1248294145478646
0.0,0.0,-0.07960179343630595,-0.037302264887980996,-0.04095119285768778,-0.23569860985368019,3.125847816737852
0.0,0.0,-0.07910249234380813,-0.0365119968016352,-0.04057280781885586,-0.23587981112690048,3.1259918065917085
0.0,0.0,-0.07886388143251544,-0.03659526219759221,-0.03956337075236638,-0.2363496618784895,3.1259733077037244
0.0,0.0,-0.07897400314359021,-0.036991511439471575,-0.03895531662556584,-0.2368867630371163,3.1257065440750686
0.0,0.0,-0.07931898237329636,-0.037050575359022495,-0.03895531662556584,-0.2368867630371163,3.1257065440750686
